"address","zipCode","city","state","price","bed","bath","sqft","pricePerSf","lotArea","lotAreaType","zillowUrl","latitude","longitude","homeType","zestimate","rentZestimate","imageUrl"
"177 Law Dr, Guelph, ON N1E 0E7","N1E0E7","Guelph","ON","769900","3","3","","","2181.2196","sqft","https://zillow.com/homedetails/177-Law-Dr-Guelph-ON-N1E-0E7/448832305_zpid/","43.568363","-80.21295","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/fa4c56e3469b42162aad16fbca9007d8-p_e.jpg"
"134 Deerpath Dr, Guelph, ON N1K 1W9","N1K1W9","Guelph","ON","899900","5","2","1115","807.09","4268.88","sqft","https://zillow.com/homedetails/134-Deerpath-Dr-Guelph-ON-N1K-1W9/2064128416_zpid/","43.52726","-80.272156","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/75c06d795c0d1f196f3db7e11201c960-p_e.jpg"
"941 Gordon St S #37, Guelph, ON N1G 4R9","N1G4R9","Guelph","ON","649000","2","3","","","","","https://zillow.com/homedetails/941-Gordon-St-S-37-Guelph-ON-N1G-4R9/449603639_zpid/","43.522263","-80.21505","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/3f8ccd075d86de07543c18998b2fa56b-p_e.jpg"
"57 Flaherty Dr, Guelph, ON N1H 8K6","N1H8K6","Guelph","ON","929000","3","3","","","7135.45","sqft","https://zillow.com/homedetails/57-Flaherty-Dr-Guelph-ON-N1H-8K6/447461283_zpid/","43.531025","-80.3003","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/cff7ed9c341ace37d87b995a91228d47-p_e.jpg"
"2 Pickwick Pl, Guelph, ON N1H 7V8","N1H7V8","Guelph","ON","1025000","3","3","","","6256.019","sqft","https://zillow.com/homedetails/2-Pickwick-Pl-Guelph-ON-N1H-7V8/440809507_zpid/","43.533577","-80.29251","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/aba966652c09ebb740e37efac5d63760-p_e.jpg"
"22 Celia Cres, Guelph, ON N1G 4R4","N1G4R4","Guelph","ON","939900","4","3","","","5019.42","sqft","https://zillow.com/homedetails/22-Celia-Cres-Guelph-ON-N1G-4R4/449579395_zpid/","43.52628","-80.254616","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/0860312dc1bda17a1c5c37fbde1f49d1-p_e.jpg"
"56 Schiedel Dr, Guelph, ON N1E 7M1","N1E7M1","Guelph","ON","779900","4","4","","","3014.28","sqft","https://zillow.com/homedetails/56-Schiedel-Dr-Guelph-ON-N1E-7M1/448123660_zpid/","43.58132","-80.26325","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/83a5cf9348399e11bc41f67f6fd89c8b-p_e.jpg"
"8 Ray Cres, Guelph, ON N1L 0B6","N1L0B6","Guelph","ON","1599900","4","4","","","5412.7","sqft","https://zillow.com/homedetails/8-Ray-Cres-Guelph-ON-N1L-0B6/448458281_zpid/","43.51233","-80.17928","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/d119b29a90f040ec28cf7f0a09801d83-p_e.jpg"
"49 Washburn Dr, Guelph, ON N1E 0B2","N1E0B2","Guelph","ON","769900","3","3","","","2132.427","sqft","https://zillow.com/homedetails/49-Washburn-Dr-Guelph-ON-N1E-0B2/351538262_zpid/","43.570847","-80.23304","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/8d858e0708e397a4cbc41490fce7e4be-p_e.jpg"
"46 Fletcher Ct, Guelph, ON N1E 7G8","N1E7G8","Guelph","ON","949900","3","2","1039","914.24","3484.8","sqft","https://zillow.com/homedetails/46-Fletcher-Ct-Guelph-ON-N1E-7G8/2064080070_zpid/","43.57076","-80.24215","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/92136c2266f3ff72bff5ef460809b79e-p_e.jpg"
"23 Harrington Rd N, Guelph, ON N1E 0S1","N1E0S1","Guelph","ON","1429900","5","3","","","5370","sqft","https://zillow.com/homedetails/23-Harrington-Rd-N-Guelph-ON-N1E-0S1/448398159_zpid/","43.564007","-80.21584","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/4c12abff5f1db9a7a1b5055af7b0c753-p_e.jpg"
"7 Elderberry Ct, Guelph, ON N1L 1K3","N1L1K3","Guelph","ON","1799900","4","4","2670","674.12","","","https://zillow.com/homedetails/7-Elderberry-Ct-Guelph-ON-N1L-1K3/2056128720_zpid/","43.51362","-80.19025","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/b9879cad9c145ed446822349b31202af-p_e.jpg"
"85 Mullin Dr #51B, Guelph, ON N1E 0R4","N1E0R4","Guelph","ON","569900","2","2","","","","","https://zillow.com/homedetails/85-Mullin-Dr-51B-Guelph-ON-N1E-0R4/440005348_zpid/","43.58327","-80.26231","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/8aa82fb17b21f841aff9169bde723fd3-p_e.jpg"
"30 Reid Ct, Guelph, ON N1G 3R6","N1G3R6","Guelph","ON","829000","4","3","","","3003","sqft","https://zillow.com/homedetails/30-Reid-Ct-Guelph-ON-N1G-3R6/2058407739_zpid/","43.514065","-80.230804","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/c141982650a1f2d43db19cc2d996c149-p_e.jpg"
"59 John Brabson Cres, Guelph, ON N1G 0G5","N1G0G5","Guelph","ON","929525","4","3","","","2241","sqft","https://zillow.com/homedetails/59-John-Brabson-Cres-Guelph-ON-N1G-0G5/440015835_zpid/","43.526375","-80.1988","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/83bd26112f7dd5b80d1b37d899a6a695-p_e.jpg"
"2 Wildwood Pl, Guelph, ON N1H 7X9","N1H7X9","Guelph","ON","690000","2","2","1100","627.27","4371","sqft","https://zillow.com/homedetails/2-Wildwood-Pl-Guelph-ON-N1H-7X9/447561789_zpid/","43.533955","-80.27846","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/f38f894c2b94a46cdde8da146d6c3dda-p_e.jpg"
"30 Samuel Dr, Guelph, ON N1L 0K2","N1L0K2","Guelph","ON","1139900","5","4","","","3337.1051","sqft","https://zillow.com/homedetails/30-Samuel-Dr-Guelph-ON-N1L-0K2/447644315_zpid/","43.513504","-80.17391","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/51ebcfa0eb66c63d1feeff5906704372-p_e.jpg"
"42 Hands Dr, Guelph, ON N1G 3H3","N1G3H3","Guelph","ON","1349900","4","4","2468","546.96","7891","sqft","https://zillow.com/homedetails/42-Hands-Dr-Guelph-ON-N1G-3H3/446732317_zpid/","43.52694","-80.21308","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/fe58a6c325dd67510f508994de4169ef-p_e.jpg"
"83 McCann St, Guelph, ON N1G 0A8","N1G0A8","Guelph","ON","1989888","4","5","","","5800","sqft","https://zillow.com/homedetails/83-McCann-St-Guelph-ON-N1G-0A8/2052925416_zpid/","43.528336","-80.20244","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/98db1c45d17274fa67bd4472f79e4539-p_e.jpg"
"392 Imperial Rd S, Guelph, ON N1K 1K3","N1K1K3","Guelph","ON","795899","3","2","","","5360.7258","sqft","https://zillow.com/homedetails/392-Imperial-Rd-S-Guelph-ON-N1K-1K3/448741348_zpid/","43.522545","-80.273575","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/e31ea313a7db737eca32862d3563b7e0-p_e.jpg"
